command_lead_way, quá trình hình thành và phát triển,a,0
command_lead_way, đại học đông dương,a,0
command_lead_way, đại học tổng hợp,a,1
command_lead_way, đại học quốc gia việt nam,a,1
command_lead_way, đại học quốc gia hà nội,a,2
command_lead_way, các giám đốc và phó giám đốc của đại học quốc gia,a,3
command_lead_way, sự quan tâm của đảng dành cho đại học quốc gia,a,4
command_lead_way, đại học quốc gia là ngôi sao lớn,a,5
command_lead_way, khu vực hoa sen,a,5
command_lead_way, các đặc trưng của đại học quốc gia,a,6
command_lead_way, các thành tựu nổi bật của đại học quốc gia,a,7
command_lead_way, các công trình nghiên cứu khoa học của đại học quốc gia,a,7
command_lead_way, các đối tác quốc tế của đại học quốc gia,a,8
command_lead_way, các giải thưởng quốc tế của đại học quốc gia,a,9
command_lead_way, các giải thưởng trong nước của đại học quốc gia,a,10
command_lead_way, các tiến sĩ danh dự đại học quốc gia,a,11
command_lead_way, vị thế trên trường quốc tế của đại học quốc gia,a,12